Product_ID,Product_Name,Category,Price
200001,Wireless Mouse,Tech,90
200002,Mechanical Keyboard,Tech,350
200003,USB-C Hub,Tech,150
200004,Laptop Stand,Tech,120
200005,Bluetooth Headphones,Tech,280
200006,Smart Watch,Tech,700
200007,Portable Charger,Tech,160
200008,4K Monitor,Tech,1300
200009,HD Webcam,Tech,240
200010,Wireless Charger,Tech,130
200011,Noise Cancelling Earbuds,Tech,450
200012,Gaming Mouse,Tech,200
200013,Gaming Headset,Tech,330
200014,External SSD 1TB,Tech,500
200015,Tablet 10 Inch,Tech,900
200016,Smart Speaker,Tech,300
200017,Fitness Tracker,Tech,250
200018,Wireless Router,Tech,400
200019,Portable Projector,Tech,1000
200020,Bluetooth Keyboard,Tech,190
200021,Office Chair,Furniture,500
200022,Standing Desk,Furniture,1150
200023,Bookshelf,Furniture,350
200024,Coffee Table,Furniture,280
200025,Desk Lamp,Furniture,95
200026,Storage Cabinet,Furniture,620
200027,Ergonomic Footrest,Furniture,120
200028,Gaming Chair,Furniture,900
200029,Minimalist Desk,Furniture,750
200030,LED Desk Strip Light,Furniture,150
200031,TV Stand,Furniture,400
200032,Shoe Rack,Furniture,190
200033,Bedside Table,Furniture,230
200034,Dining Chair Set,Furniture,800
200035,Foldable Desk,Furniture,300
200036,Wall Shelf,Furniture,160
200037,Recliner Chair,Furniture,1400
200038,Office Drawer Unit,Furniture,260
200039,Floor Lamp,Furniture,220
200040,Wardrobe Organizer,Furniture,500
200041,Backpack,Accessories,180
200042,Leather Wallet,Accessories,140
200043,Travel Mug,Accessories,65
200044,Notebook Set,Accessories,45
200045,Phone Case,Accessories,55
200046,Sunglasses,Accessories,220
200047,Water Bottle,Accessories,75
200048,Cable Organizer,Accessories,35
200049,Laptop Sleeve,Accessories,90
200050,Travel Backpack,Accessories,250
200051,Card Holder,Accessories,80
200052,Desk Pad,Accessories,60
200053,Keychain Set,Accessories,30
200054,Passport Holder,Accessories,100
200055,Lunch Box,Accessories,70
200056,Umbrella,Accessories,85
200057,Reusable Shopping Bag Set,Accessories,40
200058,Phone Grip Stand,Accessories,25
200059,Tablet Sleeve,Accessories,110
200060,Travel Pillow,Accessories,90
200061,Running Shoes,Sports,350
200062,Yoga Mat,Sports,120
200063,Dumbbell Set,Sports,300
200064,Resistance Bands,Sports,70
200065,Sports Water Bottle,Sports,60
200066,Football,Sports,90
200067,Basketball,Sports,100
200068,Gym Gloves,Sports,75
200069,Treadmill,Sports,2500
200070,Exercise Bike,Sports,1900
200071,Skipping Rope,Sports,40
200072,Fitness Bench,Sports,600
200073,Protein Shaker,Sports,45
200074,Sports Backpack,Sports,160
200075,Knee Support,Sports,55
200076,Tennis Racket,Sports,300
200077,Swimming Goggles,Sports,50
200078,Camping Chair,Sports,150
200079,Hiking Backpack,Sports,400
200080,Adjustable Dumbbell,Sports,800
200081,Ceramic Dinner Set,Home & Kitchen,300
200082,Non-Stick Pan,Home & Kitchen,150
200083,Knife Set,Home & Kitchen,250
200084,Electric Kettle,Home & Kitchen,130
200085,Blender,Home & Kitchen,230
200086,Air Fryer,Home & Kitchen,500
200087,Coffee Maker,Home & Kitchen,400
200088,Toaster,Home & Kitchen,120
200089,Microwave Oven,Home & Kitchen,700
200090,Rice Cooker,Home & Kitchen,250
200091,Food Storage Container Set,Home & Kitchen,90
200092,Vacuum Cleaner,Home & Kitchen,800
200093,Iron,Home & Kitchen,160
200094,Laundry Basket,Home & Kitchen,70
200095,Bath Towel Set,Home & Kitchen,130
200096,Bed Sheet Set,Home & Kitchen,200
200097,Pillow Set,Home & Kitchen,150
200098,Wall Clock,Home & Kitchen,80
200099,Decorative Vase,Home & Kitchen,110
200100,Scented Candle Set,Home & Kitchen,60
